customer_id,date,handler_id,inquiry,answer
C00003771,2024/9/17,18833,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00001608,2020/1/21,42572,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00001311,2022/11/19,63146,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00007735,2023/8/7,95597,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00000746,2020/12/21,31314,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00005703,2020/6/21,91161,空港送迎を予約したい,空港送迎の手配が完了しました。
C00004365,2024/7/26,67788,空港送迎を予約したい,空港送迎の手配が完了しました。
C00003064,2021/8/29,43425,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00001346,2022/3/2,92143,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00004310,2022/11/18,23973,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00008838,2024/2/19,80112,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00009016,2021/1/28,83187,旅程を変更したい,変更した旅程をご確認いただきました。
C00005986,2021/2/28,50286,天候の影響で旅程変更が必要,旅程変更に伴う費用をお知らせしました。
C00004349,2024/4/4,72251,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00000576,2020/3/5,12294,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00000597,2020/8/23,90894,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00007082,2024/2/5,71529,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00002994,2021/6/9,67349,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00005334,2021/7/16,61654,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00007574,2023/11/6,12388,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00006417,2022/7/9,84504,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00004808,2021/1/5,83626,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00000862,2024/5/18,14877,支払い方法を変更したい,変更後の支払い方法を登録しました。
C00007678,2024/6/22,70105,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00009024,2022/6/5,55231,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00002289,2021/12/24,59869,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00009613,2024/8/21,88457,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00008514,2020/9/11,45786,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00002502,2020/3/19,27382,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00001525,2022/7/30,60950,天候の影響で旅程変更が必要,旅程変更に伴う費用をお知らせしました。
C00008995,2023/10/18,72866,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00008623,2020/4/6,37473,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00001483,2021/7/20,38937,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00003282,2023/10/22,73256,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00003311,2023/7/28,70141,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00000613,2021/11/4,83692,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00009429,2021/9/18,79545,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00005260,2022/10/14,75807,旅行保険について教えてほしい,旅行保険のプランをご案内しました。
C00003575,2023/4/9,84691,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00008272,2024/3/29,98774,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00007907,2022/12/18,26938,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00005166,2020/9/11,65206,スーツケースが壊れてしまった,スーツケース補償の手続きを進めました。
C00000367,2024/7/30,43782,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00006588,2024/4/18,62931,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00006513,2020/3/29,66212,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00009916,2020/12/4,70102,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00000250,2023/7/10,93008,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00000938,2023/7/25,56137,旅程を変更したい,変更した旅程をご確認いただきました。
C00002135,2024/12/17,86091,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00009529,2024/10/10,82607,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00002033,2023/3/30,77387,空港送迎を予約したい,空港送迎の手配が完了しました。
C00008650,2023/11/11,44430,旅程を変更したい,変更した旅程をご確認いただきました。
C00009484,2024/6/14,44652,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00006254,2023/9/25,29964,旅程を変更したい,変更した旅程をご確認いただきました。
C00008740,2024/2/1,19279,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00000432,2021/3/3,18875,旅程を変更したい,変更した旅程をご確認いただきました。
C00006176,2023/2/28,30935,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00005899,2021/5/8,97647,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00008462,2023/11/8,75203,空港送迎を予約したい,空港送迎の手配が完了しました。
C00009877,2023/2/27,79991,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00001678,2024/12/9,37459,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00007416,2024/4/10,98916,旅程を変更したい,変更した旅程をご確認いただきました。
C00006976,2021/12/20,72504,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00009189,2023/8/24,27436,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00006048,2023/10/27,52277,旅行のキャンセルをしたい,キャンセルポリシーをご案内し、手続きを行いました。
C00002142,2020/4/29,30799,空港送迎を予約したい,空港送迎の手配が完了しました。
C00002373,2024/9/23,24037,スーツケースが壊れてしまった,スーツケース補償の手続きを進めました。
C00009287,2024/7/2,71015,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00003189,2022/5/19,29478,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00003826,2021/9/28,31127,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00004297,2022/1/16,29171,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00006953,2022/1/19,14208,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00003283,2023/6/12,81563,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00005880,2023/2/14,93984,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00007768,2020/7/2,99504,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00004141,2021/4/29,99437,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00008982,2023/11/24,27822,空港送迎を予約したい,空港送迎の手配が完了しました。
C00008986,2022/2/27,53428,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00005553,2023/5/25,34248,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00008912,2021/2/20,18509,旅程を変更したい,変更した旅程をご確認いただきました。
C00007965,2022/10/12,88804,スーツケースが壊れてしまった,スーツケース補償の手続きを進めました。
C00000120,2021/7/10,60968,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00008776,2021/12/9,98149,旅程を変更したい,変更した旅程をご確認いただきました。
C00000599,2020/10/27,96997,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00009120,2023/3/11,75567,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00003820,2024/9/14,94532,支払い方法を変更したい,変更後の支払い方法を登録しました。
C00005604,2022/6/2,73505,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00008896,2023/6/21,85175,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00008843,2024/10/8,68996,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00008039,2024/5/17,85355,支払い方法を変更したい,変更後の支払い方法を登録しました。
C00000431,2022/4/26,17518,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00006395,2023/7/17,59703,旅行保険について教えてほしい,旅行保険のプランをご案内しました。
C00008016,2020/10/31,71532,支払い方法を変更したい,変更後の支払い方法を登録しました。
C00002161,2020/3/1,94124,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00005562,2022/5/18,93671,ツアーガイドの連絡先が知りたい,ツアーガイドの連絡先をお伝えしました。
C00009089,2020/5/19,25502,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00007212,2023/9/6,13050,天候の影響で旅程変更が必要,旅程変更に伴う費用をお知らせしました。
C00004362,2023/3/9,18467,予約内容を確認したい,予約内容を確認し、詳細をお伝えしました。
C00004489,2024/3/5,17663,食事のアレルギー対応をお願いしたい,アレルギー対応を現地のレストランに依頼しました。
C00007733,2020/9/25,75613,領収書を発行してほしい,領収書を発行し、郵送いたしました。
C00009679,2021/12/14,88999,特別な記念日プランを相談したい,記念日プランをご提案し、予約しました。
C00002538,2021/6/26,70238,スーツケースが壊れてしまった,スーツケース補償の手続きを進めました。
C00008349,2023/2/1,73015,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00000414,2020/9/4,17631,現地で使えるSIMカードについて教えてほしい,現地SIMカードの購入場所をお知らせしました。
C00003059,2020/6/10,48877,滞在中のホテルで追加料金が発生した,ホテルへの問い合わせを行い、追加料金の詳細を確認しました。
C00002288,2022/12/22,97348,観光地のガイドを手配したい,観光地ガイドの予約が完了しました。
C00006098,2020/2/28,96376,Wi-Fiレンタルの詳細を知りたい,Wi-Fiレンタルサービスをご案内しました。
C00005113,2024/6/26,73866,旅行保険について教えてほしい,旅行保険のプランをご案内しました。
C00005790,2021/11/11,72661,ホテルの部屋をアップグレードしたい,追加料金をご案内し、アップグレードを承りました。
C00003568,2024/11/19,54992,家族割引について知りたい,家族割引の適用条件をお知らせしました。
C00003148,2021/6/2,82272,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00009112,2022/4/4,62629,スーツケースが壊れてしまった,スーツケース補償の手続きを進めました。
C00003537,2022/5/23,20755,旅行プランの詳細を教えてほしい,旅行プランの詳細資料をメールで送付しました。
C00006853,2020/7/17,33895,天候の影響で旅程変更が必要,旅程変更に伴う費用をお知らせしました。
C00003865,2021/1/27,21695,飛行機の座席指定を変更したい,座席変更の手続きを完了しました。
C00005263,2020/7/24,36487,天候の影響で旅程変更が必要,旅程変更に伴う費用をお知らせしました。
